# version=2017
# observatory
! mpcCode W88
! name Slooh.com Chile Observatory, La Dehesa
# submitter
! name C. J. R. McEwing
# observers
! name C. J. R. McEwing
# measurers
! name C. J. R. McEwing
# telescope
! design Corrected Dall-Kirkham
! aperture 0.43
! fRatio 6.8
! detector CCD
# software
! astrometry Astrometrica 4.12.0.448
! photometry Astrometrica 4.12.0.448
permID |provID     |trkSub  |mode|stn |obsTime                |ra         |dec        |rmsRA|rmsDec|astCat  |mag  |rmsMag|band|photCat |photAp|logSNR|seeing|exp |rmsFit|nStars|notes|remarks
       |           | A10GvIZ| CCD|W88 |2022-03-10T02:55:02Z   |156.036645 |-31.411464 |0.148|0.146 |   UCAC4|18.94|0.111 |   V|   UCAC4| 5.7  |1.07  |2.8   | 500|0.17  |   294|K    |
       |           | A10GvIZ| CCD|W88 |2022-03-10T04:40:55Z   |156.023979 |-31.404972 |0.161|0.141 |   UCAC4|18.63|0.105 |   V|   UCAC4| 5.7  |1.07  |2.8   | 250|0.15  |   298|K    |
       |           | A10GvIZ| CCD|W88 |2022-03-10T05:31:11Z   |156.017885 |-31.401882 |0.115|0.127 |   UCAC4|18.98|0.117 |   V|   UCAC4| 5.7  |1.00  |3.0   | 350|0.14  |   300|K    |
       |           | A10GvIZ| CCD|W88 |2022-03-10T07:07:06Z   |156.006319 |-31.395830 |0.135|0.127 |   UCAC4|18.63|0.148 |   V|   UCAC4| 5.7  |0.88  |2.9   | 100|0.12  |   280|K    |
     A10GvIZ* C2022 03 07.11970310 26 12.49 -31 40 11.6          18.76cVNEOCPW68
     A10GvIZ  C2022 03 07.12311110 26 12.32 -31 40 11.5          19.00cVNEOCPW68
     A10GvIZ  C2022 03 07.12829610 26 12.13 -31 40 09.1          19.10cVNEOCPW68
     A10GvIZ  C2022 03 07.16571110 26 10.55 -31 39 57.4          18.52cVNEOCPW68
     A10GvIZ mC2022 03 07.28544910 26 05.65 -31 39 23.6                VNEOCPI52
     A10GvIZ KC2022 03 07.28578 10 26 05.53 -31 39 22.2          18.3 GVNEOCPW95
     A10GvIZ KC2022 03 07.29100 10 26 05.30 -31 39 20.4          18.5 GVNEOCPW95
     A10GvIZ mC2022 03 07.29408210 26 05.24 -31 39 20.3          18.22GVNEOCPI52
     A10GvIZ KC2022 03 07.29621 10 26 05.07 -31 39 18.8          18.6 GVNEOCPW95
     A10GvIZ mC2022 03 07.30219610 26 04.87 -31 39 18.2          18.64GVNEOCPI52
     A10GvIZ mC2022 03 07.31150110 26 04.49 -31 39 15.1          18.77GVNEOCPI52
     A10GvIZ KC2022 03 07.50549 10 25 56.51 -31 38 15.4          18.6 RqNEOCPE94
     A10GvIZ KC2022 03 07.52581 10 25 55.66 -31 38 09.3          18.7 RqNEOCPE94
     A10GvIZ KC2022 03 07.53598 10 25 55.23 -31 38 06.2          18.6 RqNEOCPE94
     A10GvIZ  C2022 03 08.01803810 25 35.37 -31 35 39.3          18.9 GVNEOCPW86
     A10GvIZ  C2022 03 08.01973710 25 35.30 -31 35 38.7          18.8 GVNEOCPW86
     A10GvIZ  C2022 03 08.02143210 25 35.23 -31 35 38.3          18.8 GVNEOCPW86
     A10GvIZ  C2022 03 08.02312710 25 35.16 -31 35 37.8          18.9 GVNEOCPW86
     A10GvIZ KC2022 03 08.04363510 25 34.27 -31 35 31.8          19.4 GXNEOCPY00
     A10GvIZ KC2022 03 08.05017910 25 34.03 -31 35 29.7          19.2 GXNEOCPY00
     A10GvIZ KC2022 03 08.05652910 25 33.77 -31 35 27.7          18.6 GXNEOCPY00
     A10GvIZ 1C2022 03 08.20961 10 25 27.42 -31 34 40.4          18.2 GVNEOCPW88
     A10GvIZ 1C2022 03 08.23481 10 25 26.30 -31 34 32.8          18.1 GVNEOCPW88
     A10GvIZ LC2022 03 09.22926 10 24 45.41 -31 29 25.0          18.6 GVNEOCPH06
     A10GvIZ LC2022 03 09.23138 10 24 45.32 -31 29 24.5          18.5 GVNEOCPH06
     A10GvIZ KC2022 03 09.35694 10 24 40.19 -31 28 43.7          19.2 RqNEOCPE94
     A10GvIZ KC2022 03 09.38570 10 24 38.99 -31 28 35.2          19.3 RqNEOCPE94
     A10GvIZ KC2022 03 09.41451 10 24 37.77 -31 28 25.3          19.4 RqNEOCPE94
     A10GvIZ KC2022 03 09.44329 10 24 36.57 -31 28 16.2          19.2 RqNEOCPE94
     A10GvIZ KC2022 03 09.62658 10 24 29.03 -31 27 20.2          18.0 RqNEOCPQ11
     A10GvIZ KC2022 03 09.63633 10 24 28.62 -31 27 17.3                qNEOCPQ11
